,"{'learning_rate': 0.0007, 'gamma': 0.99, 'gae_lambda': 0.92, 'vf_coef': 0.5, 'ent_coef': 0.01, 'max_grad_norm': 0.5, 'n_steps': 5}","{'learning_rate': 0.0005, 'gamma': 0.98, 'gae_lambda': 0.95, 'vf_coef': 0.25, 'ent_coef': 0.02, 'max_grad_norm': 1, 'n_steps': 10}","{'learning_rate': 0.0001, 'gamma': 0.97, 'gae_lambda': 0.9, 'vf_coef': 0.5, 'ent_coef': 0.02, 'max_grad_norm': 0.5, 'n_steps': 20}","{'learning_rate': 0.001, 'gamma': 0.96, 'gae_lambda': 0.85, 'vf_coef': 0.3, 'ent_coef': 0.01, 'max_grad_norm': 1, 'n_steps': 5}","{'learning_rate': 0.0003, 'gamma': 0.95, 'gae_lambda': 0.8, 'vf_coef': 0.4, 'ent_coef': 0.03, 'max_grad_norm': 0.8, 'n_steps': 15}","{'learning_rate': 0.0002, 'gamma': 0.94, 'gae_lambda': 0.93, 'vf_coef': 0.2, 'ent_coef': 0.01, 'max_grad_norm': 0.6, 'n_steps': 10}","{'learning_rate': 0.0008, 'gamma': 0.93, 'gae_lambda': 0.88, 'vf_coef': 0.6, 'ent_coef': 0.005, 'max_grad_norm': 0.7, 'n_steps': 20}","{'learning_rate': 0.0004, 'gamma': 0.92, 'gae_lambda': 0.87, 'vf_coef': 0.7, 'ent_coef': 0.02, 'max_grad_norm': 0.9, 'n_steps': 5}","{'learning_rate': 0.0006, 'gamma': 0.91, 'gae_lambda': 0.89, 'vf_coef': 0.3, 'ent_coef': 0.015, 'max_grad_norm': 1, 'n_steps': 15}","{'learning_rate': 0.0009, 'gamma': 0.9, 'gae_lambda': 0.86, 'vf_coef': 0.4, 'ent_coef': 0.01, 'max_grad_norm': 0.8, 'n_steps': 10}"
45,0.020506923088675525,0.019427609456795936,0.019858467317970207,0.021638518336042217,0.020039219163625593,0.019494426548100796,0.020357759935557024,0.02035759154684478,0.019805463727185876,0.018846065407435737
46,-0.004254176588868122,-0.008138131845615541,-0.005626138100112589,-0.006985888687445964,-0.0048173386030821675,-0.0067618296057558635,-0.00247612801153749,-0.007854978527672826,-0.008085849090443457,-0.002179237195482006
47,-0.009133219284107777,-0.007534718748607483,-0.007575323216345986,-0.007396176265619755,-0.007604885251951908,-0.007656304300676036,-0.008405554570493827,-0.007577006055287856,-0.007646901937458272,-0.007945168858020667
48,0.00038168701514563216,-0.005858151187039312,-0.002434222589670551,-0.003334234084099603,-0.0027478502610874637,-0.0018775259345652192,0.002788435993248936,-0.004195191249002154,-0.004545520457148993,0.0018382340854453953
49,0.023031933742711657,0.017580507862671426,0.019219519754691366,0.01756017304691803,0.018766339881233943,0.020242048013717404,0.02158751783992781,0.01817492648120898,0.017599281615638986,0.019611302312854257
50,0.015207481822491629,0.019932444671578727,0.016287994152189973,0.017465733379880197,0.016820304370427447,0.01498839979684736,0.013198814992873549,0.017478235055750743,0.01928161277055061,0.014018058940906606
51,0.008045752751429379,0.012628548352454475,0.010724437015011504,0.013493618811570825,0.01048466415101411,0.010630711147501495,0.00909616172240557,0.012656376543972836,0.012704082348573177,0.009178131393011265
52,0.009084282504491881,0.011031396746389244,0.008588621369704383,0.010022218697255569,0.008700127489317686,0.009241167595046678,0.007516872601200746,0.009469619215424798,0.010403432277492589,0.00682133358074797
53,-0.0048059948821954565,-0.002322183972550532,-0.003504821823572181,-0.0031966777261440028,-0.0034720500768798453,-0.003605186590530533,-0.004028739238113004,-0.0035100143041479387,-0.0024747019368865845,-0.0036894575708149857
54,0.0070590335141259035,0.008310365674528168,0.007385501730256427,0.007993053200108551,0.007370817140722501,0.007450018663683911,0.005866186369290281,0.008065412056970008,0.008303113609358011,0.006494927556899837
