,"{'learning_rate': 0.001, 'batch_size': 64, 'gamma': 0.99, 'buffer_size': 1000000, 'tau': 0.005}","{'learning_rate': 0.0005, 'batch_size': 128, 'gamma': 0.98, 'buffer_size': 500000, 'tau': 0.01}","{'learning_rate': 0.0001, 'batch_size': 256, 'gamma': 0.97, 'buffer_size': 100000, 'tau': 0.02}","{'learning_rate': 0.002, 'batch_size': 32, 'gamma': 0.96, 'buffer_size': 500000, 'tau': 0.005}","{'learning_rate': 0.00025, 'batch_size': 64, 'gamma': 0.95, 'buffer_size': 1000000, 'tau': 0.01}","{'learning_rate': 0.00075, 'batch_size': 128, 'gamma': 0.94, 'buffer_size': 500000, 'tau': 0.005}","{'learning_rate': 0.0002, 'batch_size': 256, 'gamma': 0.93, 'buffer_size': 100000, 'tau': 0.02}","{'learning_rate': 0.0015, 'batch_size': 32, 'gamma': 0.92, 'buffer_size': 500000, 'tau': 0.01}","{'learning_rate': 0.0003, 'batch_size': 64, 'gamma': 0.91, 'buffer_size': 1000000, 'tau': 0.015}","{'learning_rate': 0.0008, 'batch_size': 128, 'gamma': 0.9, 'buffer_size': 500000, 'tau': 0.01}"
14,-0.0013445976402093555,-0.0015586721689316648,-4.885815499466684e-06,-6.424715693306936e-05,0.0029343868341269,-0.0008456602503581817,0.0003634659336312601,0.0011207479063766988,-0.0017609744730781745,-0.0012573749629688376
15,0.004509920557151982,-0.0034898251400680555,-0.0019202987986604626,-0.0011992994026392048,0.0006116256015719888,-0.0034109279533054114,-0.0012230054145953232,-0.006053541828291534,-0.0034612282621065246,-0.00021757503193283478
16,-0.00453856614831587,-0.00231375375120058,1.4970264595519364e-05,-0.007066421861435863,-0.005378250734431059,-0.003538582496119311,-0.005572309611794685,-0.0023464066416026648,-0.003218543037365418,-0.00219086754454029
17,-0.0016320087452544381,-0.005793081786350074,-0.003796868635195505,0.0009567703121788575,-0.006409393979886502,-0.0021791137840996354,-0.0036521188667616336,-0.008653130128221527,-0.002354362848482328,-0.003895832830954398
18,0.016023592841717792,0.016367509827777182,0.016554777585144665,0.009265462812569404,0.00853105291975115,0.018982287944346515,0.0203946154179439,0.01939553304731045,0.021883613966084882,0.019601253235444652
19,0.012270438974229532,0.013484289373490905,0.012613552090799035,0.012212221142455435,0.012880005520819506,0.01388189207189112,0.018511393637500175,0.017275345319146526,0.015635719737004325,0.015512163256801175
20,0.008598086818141185,0.007484433897992917,0.005615944856261126,0.006310936065570707,0.009283096170101415,0.006845156918815117,0.008563457519296498,0.008108944694610135,0.00684077329221849,0.008112102618614007
21,0.005960370068074929,0.008016411807831931,0.007849941717072097,0.004357653049253042,0.0067275371363109005,0.006795548353910456,0.005694002413685819,0.006831409418963995,0.007653697379659676,0.009009926097805248
22,-0.0134616640388136,-0.018677048163903854,-0.016844384233751977,-0.01194329648711895,-0.010823114026001298,-0.01699834477086597,-0.015362887730438974,-0.018459146673962108,-0.01996522183102181,-0.012506792888935315
23,0.00014747935722993308,-0.0015438626850941544,-0.0006611316401248676,-0.0004978375091669261,-0.0023512914889173477,-9.0361580284437e-05,0.0001312761470584959,0.001561821487841992,0.0009598571262623104,-0.000443486891429467
