Date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,NVDA,PG,TRV,UNH,V,VZ,WBA,WMT
2013-01-08,18.761070251464844,88.1500015258789,60.20000076293945,74.12999725341797,94.0,42.49250030517578,20.309999465942383,109.26000213623047,50.7599983215332,133.0500030517578,63.220001220703125,62.67451477050781,184.3881378173828,21.09000015258789,71.41000366210938,45.5,37.040000915527344,90.94000244140625,95.5,40.24809265136719,26.549999237060547,26.200000762939453,3.122499942779541,68.51000213623047,73.19000244140625,51.400001525878906,39.84000015258789,43.099998474121094,38.16999816894531,68.58999633789062
2013-01-09,18.467857360839844,88.66999816894531,60.2599983215332,76.76000213623047,94.44000244140625,42.95750045776367,20.299999237060547,109.54000091552734,50.779998779296875,134.32000732421875,63.16999816894531,63.43720626831055,183.86233520507812,21.450000762939453,71.7300033569336,45.470001220703125,37.029998779296875,90.80999755859375,96.41000366210938,40.639312744140625,26.700000762939453,26.225000381469727,3.052500009536743,68.87999725341797,73.94000244140625,52.369998931884766,40.4474983215332,43.0,38.45000076293945,68.56999969482422
2013-01-10,18.696786880493164,87.80999755859375,60.790000915527344,77.08999633789062,95.08000183105469,43.279998779296875,20.440000534057617,110.47000122070312,50.790000915527344,137.3699951171875,63.619998931884766,63.32280349731445,184.397705078125,21.799999237060547,72.19000244140625,46.150001525878906,36.959999084472656,91.4000015258789,96.88999938964844,40.82061004638672,26.459999084472656,26.274999618530273,3.057499885559082,69.2699966430664,74.44999694824219,53.11000061035156,40.127498626708984,43.59000015258789,38.56999969482422,68.36000061035156
2013-01-11,18.582143783569336,86.95999908447266,61.2400016784668,75.16000366210938,95.19000244140625,43.337501525878906,20.479999542236328,111.7300033569336,50.58000183105469,137.1300048828125,63.70000076293945,63.217933654785156,185.89866638183594,22.0,72.3499984741211,46.13999938964844,36.90999984741211,91.7300033569336,96.27999877929688,41.25,26.829999923706055,26.549999237060547,3.052500009536743,69.22000122070312,74.8499984741211,52.81999969482422,40.290000915527344,43.29999923706055,39.099998474121094,68.62999725341797
2013-01-14,17.91964340209961,86.91999816894531,61.209999084472656,76.55000305175781,94.62999725341797,43.502498626708984,20.969999313354492,112.8499984741211,50.59000015258789,136.1300048828125,63.47999954223633,63.646949768066406,184.14913940429688,22.0,72.55999755859375,45.880001068115234,36.9900016784668,91.52999877929688,97.08000183105469,41.35496139526367,26.889999389648438,26.594999313354492,3.049999952316284,69.62999725341797,74.94999694824219,53.36000061035156,40.162498474121094,42.59000015258789,39.040000915527344,68.30000305175781
2013-01-15,17.354286193847656,85.08000183105469,60.7599983215332,76.94000244140625,95.66999816894531,43.662498474121094,20.979999542236328,113.44000244140625,51.09000015258789,135.58999633789062,63.95000076293945,63.7613525390625,184.034423828125,21.8799991607666,72.37000274658203,46.349998474121094,37.31999969482422,91.51000213623047,97.29000091552734,40.906490325927734,27.209999084472656,26.81999969482422,2.994999885559082,69.87999725341797,75.55999755859375,53.619998931884766,40.11249923706055,41.970001220703125,39.29999923706055,68.9800033569336
2013-01-16,18.074642181396484,84.31999969482422,60.619998931884766,74.33999633789062,95.19000244140625,42.40999984741211,21.030000686645508,113.97000122070312,51.529998779296875,141.08999633789062,63.86000061035156,63.61834716796875,184.12045288085938,22.110000610351562,72.58000183105469,46.81999969482422,37.31999969482422,91.0999984741211,97.5999984741211,40.59160232543945,27.040000915527344,26.864999771118164,3.0225000381469727,69.33999633789062,75.55000305175781,53.65999984741211,40.04999923706055,41.5099983215332,39.38999938964844,69.20999908447266
2013-01-17,17.952856063842773,83.94000244140625,60.7400016784668,75.26000213623047,95.69999694824219,42.782501220703125,20.950000762939453,114.73999786376953,52.40999984741211,141.00999450683594,65.05000305175781,64.17130279541016,185.13385009765625,22.68000030517578,72.9000015258789,46.439998626708984,37.5099983215332,91.76000213623047,98.08000183105469,40.79198455810547,27.25,26.739999771118164,3.0625,69.66999816894531,75.9000015258789,54.400001525878906,39.970001220703125,42.130001068115234,39.36000061035156,68.8499984741211
2013-01-18,17.85714340209961,82.08000183105469,59.779998779296875,75.04000091552734,97.62000274658203,42.505001068115234,21.020000457763672,115.23999786376953,52.34000015258789,144.4499969482422,65.47000122070312,64.64798736572266,185.91778564453125,21.25,73.2300033569336,46.459999084472656,37.70000076293945,92.26000213623047,98.73999786376953,41.011451721191406,27.25,26.645000457763672,3.0425000190734863,69.94000244140625,76.30999755859375,54.560001373291016,39.567501068115234,42.540000915527344,39.209999084472656,69.19999694824219
2013-01-22,18.02750015258789,83.29000091552734,59.400001525878906,74.16000366210938,97.72000122070312,41.72249984741211,20.8700008392334,115.91000366210938,52.72999954223633,145.9499969482422,65.75,65.2104721069336,187.4569854736328,21.170000076293945,72.69000244140625,46.540000915527344,37.130001068115234,92.94999694824219,99.33000183105469,41.22137451171875,27.149999618530273,26.739999771118164,3.0274999141693115,69.94999694824219,77.94999694824219,56.02000045776367,39.76250076293945,42.939998626708984,39.4900016784668,69.58000183105469
